X,y
-30.0,1.037703039393985
-29.93993993993994,0.9816824930125506
-29.87987987987988,1.0641651447544047
-29.81981981981982,1.1519826948371288
-29.75975975975976,0.9729428183712067
-29.6996996996997,0.9660299131330042
-29.63963963963964,1.1368822844322284
-29.57957957957958,1.041691612523819
-29.51951951951952,0.9005081125747301
-29.45945945945946,0.9808023224078993
-29.3993993993994,0.8559540723125422
-29.33933933933934,0.8282185967332041
-29.27927927927928,0.8683289205734848
-29.21921921921922,0.6191017409063018
-29.15915915915916,0.601312541730318
-29.0990990990991,0.6781596952967439
-29.03903903903904,0.5910411616984984
-28.97897897897898,0.6791882235135671
-28.91891891891892,0.5100643820622551
-28.85885885885886,0.41057291711970567
-28.7987987987988,0.6473147892644096
-28.73873873873874,0.4253131398566722
-28.67867867867868,0.4001692970816833
-28.61861861861862,0.19504865507242306
-28.55855855855856,0.22597504594080214
-28.4984984984985,0.23338421613348936
-28.43843843843844,0.04826962524666001
-28.37837837837838,0.14142668141239187
-28.31831831831832,-0.016093613882610762
-28.25825825825826,-0.04524430664578538
-28.1981981981982,-0.1362328114262247
-28.13813813813814,0.04945273945494519
-28.07807807807808,-0.19634810813652462
-28.01801801801802,-0.3592895963568847
-27.95795795795796,-0.22886991022707392
-27.8978978978979,-0.48969271042631496
-27.83783783783784,-0.4018802876825879
-27.77777777777778,-0.6723674112669867
-27.71771771771772,-0.6611347953074953
-27.65765765765766,-0.5586406832945274
-27.5975975975976,4.4475947543441805
-27.53753753753754,-0.654781828653465
-27.47747747747748,-0.7267272143777784
-27.41741741741742,-0.7859375189504105
-27.35735735735736,-0.9416185032817714
-27.2972972972973,-0.9008274581430373
-27.237237237237238,-0.90699473452246
-27.177177177177178,-0.7842018292497526
-27.117117117117118,-0.8813262746133621
-27.057057057057058,-1.114464083564667
-26.996996996996998,-0.92484051155762
-26.936936936936938,-1.0113940162423136
-26.876876876876878,-1.0527065186016782
-26.816816816816818,-0.9324231337080567
-26.756756756756758,-0.8954842402712332
-26.696696696696698,-0.9068485895049556
-26.636636636636638,-1.0816847203988729
-26.576576576576578,-1.0228725127281508
-26.516516516516518,-0.94943613717604
-26.456456456456458,-0.8720759280673722
-26.396396396396398,-1.0011192148891395
-26.336336336336338,-0.95190167274861
-26.276276276276278,-1.0207375294821561
-26.216216216216218,-1.0032110011173763
-26.156156156156158,-0.7726377244613803
-26.096096096096097,-0.6854870352748055
-26.036036036036037,-0.7925717513533783
-25.975975975975977,-0.6464450041451553
-25.915915915915917,-0.6693691969655842
-25.855855855855857,-0.7262350398616525
-25.795795795795797,-0.5793875116274774
-25.735735735735737,-0.4133077547523004
-25.675675675675677,-0.5202332789767403
-25.615615615615617,-0.3078624654017131
-25.555555555555557,-0.672303075966669
-25.495495495495497,-0.2726603529340239
-25.435435435435437,-0.28938829815678
-25.375375375375377,-0.27016118051753646
-25.315315315315317,-0.17238539872105543
-25.255255255255257,-0.320964665066325
-25.195195195195197,4.915619437083218
-25.135135135135137,0.033317353020878036
-25.075075075075077,0.20542360306798446
-25.015015015015017,0.06562744327317357
-24.954954954954957,0.09600181564539656
-24.894894894894897,0.18543443467818893
-24.834834834834837,0.3850596739158764
